RFID,Sex,Elevation,TestYear,I.TotTrials,I.20.LocErr,I.Tot.LocErr,R.TotTrials,R.20.LocErr,R.Tot.LocErr
0700EDF46D,F,H,2016_17,167,0.7,0.323353293,291,1.45,0.463917526
03000223AD,F,H,2016_17,175,0.8,0.274285714,293,0.3,0.136518771
0700EDCB97,F,H,2016_17,194,0.7,0.242268041,300,0.55,0.136666667
0700EDDE6B,M,H,2016_17,255,1.05,0.2,304,0.35,0.128289474
0700EDD17B,M,L,2015_16,630,1.6,0.365079365,304,2,0.391447368
011017A375,M,H,2017_18,417,1.1,0.146282974,307,0.5,0.260586319
0700EDDE6B,M,H,2015_16,2371,1,0.161113454,310,1.15,1.412903226
01101799DA,F,H,2017_18,219,2.05,0.415525114,311,0.65,0.231511254
0300025F50,M,H,2016_17,148,0.55,0.155405405,316,0.45,0.199367089
0700EDF35B,M,H,2015_16,550,0.95,0.44,316,1,0.642405063
0700EDE0C0,F,L,2018_19,228,1.45,0.456140351,317,0.3,0.249211356
011017A3DB,F,H,2016_17,317,1.65,0.356466877,317,1.1,0.394321767
011017A0B1,F,H,2017_18,360,1.25,0.186111111,319,0.4,0.090909091
030001CC84,M,H,2016_17,294,1.1,0.241496599,328,0.75,0.210365854
0700EDF91A,M,L,2015_16,1634,0.6,0.074051408,334,0.5,0.281437126
011017A69C,F,H,2016_17,159,1.95,0.572327044,338,0.55,0.275147929
0700EDDAA7,M,H,2017_18,217,0.75,0.211981567,341,0.6,0.129032258
0700EE00BC,M,H,2016_17,81,0.95,0.617283951,353,1.1,0.518413598
011017A0B1,F,H,2016_17,252,0.85,0.301587302,353,0.75,0.35694051
011017A53F,M,H,2016_17,352,1.75,0.335227273,357,0.7,0.168067227
030002B8FF,M,H,2015_16,1696,1,0.192216981,361,0.55,0.329639889
011017A21B,M,H,2016_17,338,1.3,0.304733728,366,0.95,0.415300546
0700EDDC12,F,H,2018_19,285,1.75,0.294736842,380,0.45,0.186842105
0700EDE028,M,H,2016_17,330,0.7,0.23030303,396,0.2,0.090909091
0700EE09F8,M,H,2017_18,297,1.2,0.336700337,404,0.5,0.212871287
030002B8FF,M,H,2016_17,338,0.6,0.130177515,405,0.4,0.098765432
0700ED9084,F,H,2016_17,380,0.55,0.155263158,416,0.1,0.076923077
0700EE0395,F,H,2016_17,491,1.2,0.250509165,418,0.55,0.200956938
0700EDA11E,F,H,2016_17,150,1.3,0.493333333,424,0.65,0.181603774
0700EDF321,M,H,2016_17,263,0.7,0.292775665,433,0.6,0.203233256
0700EDA99B,F,H,2016_17,255,1.05,0.4,440,0.75,0.25
011017A4B4,M,H,2017_18,228,1.3,0.407894737,481,0.75,0.20997921
0700EDBFAD,M,H,2017_18,311,1.25,0.231511254,483,0.45,0.132505176
0700EDEFA0,M,H,2016_17,81,1.7,0.827160494,504,0.7,0.152777778
0700EE04B3,F,L,2015_16,912,0.7,0.143640351,507,0.5,0.08086785
010799F978,F,H,2016_17,546,1.6,0.249084249,510,0.45,0.319607843
0700EE3A1B,M,H,2016_17,493,1,0.168356998,577,0.3,0.147313692
0700ED9667,M,H,2016_17,368,0.7,0.122282609,585,0.2,0.094017094
01101797F0,M,H,2017_18,327,1.65,0.278287462,593,0.5,0.10455312
03000298F3,F,L,2015_16,245,1.3,0.514285714,596,0.45,0.19295302
0700ED8B6F,M,L,2015_16,1094,0.75,0.111517367,602,0.05,0.064784053
0700EDB2AB,M,L,2015_16,1177,0.95,0.17162277,616,0.25,0.128246753
0300025F50,M,H,2015_16,2057,0.7,0.109382596,644,1.65,0.145962733
0700EE4300,M,H,2016_17,503,0.35,0.178926441,672,0.65,0.172619048
0700EDD4DE,M,H,2016_17,481,0.8,0.151767152,695,0.3,0.071942446
0700EDB721,M,H,2016_17,568,1.05,0.198943662,722,0.4,0.163434903
03000223AD,F,H,2015_16,1965,0.8,0.229516539,836,1.5,0.224880383
0700EE2A15,F,L,2015_16,964,0.35,0.072614108,867,0.95,0.188004614
0700ED9C83,M,L,2015_16,1060,0.65,0.302830189,915,0.15,0.332240437
0700EE2471,M,L,2015_16,1759,0.65,0.094371802,919,1.3,0.188248096
030001AA57,M,L,2015_16,661,1.05,0.291981846,927,0.85,0.132686084
030001FBB1,F,L,2015_16,1532,1,0.14229765,934,1,0.105995717
0700EE1D35,F,L,2015_16,380,1.35,0.597368421,1001,0.4,0.172827173
0700EE3D69,F,L,2015_16,658,1,0.440729483,1018,1.35,0.235756385
0700EDB7ED,M,L,2015_16,980,0.6,0.224489796,1046,1.15,0.142447419
0700EDFD3A,M,L,2015_16,2613,0.95,0.169536931,1062,0.15,0.125235405
0700EE2C9F,F,L,2015_16,1399,0.6,0.107219442,1073,0.05,0.062441752
0700EDF3AC,F,H,2015_16,822,0.6,0.188564477,1104,0.55,0.245471014
0300030FD8,M,L,2015_16,1501,0.6,0.124583611,1115,0,0.11838565
0700ED9156,F,L,2015_16,1711,1.6,0.09585038,1148,0,0.072299652
0700EE28B9,M,L,2015_16,1714,1.3,0.252625438,1150,0.15,0.119130435
0700EE1FD2,M,H,2015_16,1520,0.45,0.207236842,1176,0.3,0.138605442
0700EE052C,F,L,2015_16,2665,0.75,0.103189493,1176,0.95,0.081632653
0700EDE52B,M,H,2015_16,1046,1.35,0.273422562,1190,1.25,0.084033613
0700EDF35F,F,H,2015_16,1585,0.75,0.159621451,1256,0.65,0.251592357
030001F598,M,L,2015_16,475,0.5,0.528421053,1259,1.55,0.160444797
0700EDFCB1,M,L,2015_16,903,0.8,0.249169435,1266,0.45,0.176935229
0700EE3D89,M,L,2015_16,1983,1.15,0.168935956,1273,1.35,0.183032207
0700EE1E3D,M,L,2015_16,1435,1.1,0.121254355,1316,0,0.029635258
0700ED97FC,F,L,2015_16,1938,1.1,0.109907121,1317,0.15,0.077448747
0700EE1664,M,L,2015_16,1346,0.75,0.116641902,1323,0.1,0.065759637
0700EDF64A,M,H,2015_16,1531,0.6,0.240365774,1354,1.75,0.303545052
0700EE3EF6,F,H,2015_16,543,1.75,0.480662983,1415,0.85,0.113780919
0700ED8E2B,M,H,2015_16,1790,1,0.186592179,1417,0.65,0.2900494
0700EE3386,F,L,2015_16,1179,0.5,0.122137405,1423,0.2,0.075193254
0700EDF8A1,F,H,2015_16,684,1.05,0.34502924,1484,0.1,0.087601078
300019589,M,H,2015_16,1522,2.45,0.211563732,1677,0.1,0.151460942
0700EDA565,M,H,2015_16,2229,0.4,0.080753701,1690,0.75,0.105325444
0700EE40D6,F,H,2015_16,765,0.3,0.409150327,1691,1,0.091661739
0700EDADAF,F,L,2015_16,2423,0.5,0.061906727,1741,0,0.057438254
030001F885,M,H,2015_16,1417,0.85,0.382498236,1745,0.85,0.09226361
0700EDEA14,M,L,2015_16,2592,1.3,0.108796296,1852,0.6,0.045356371
300028599,M,L,2015_16,284,1.6,0.235915493,1867,0.75,0.134440279
0700EDEC59,M,L,2015_16,4968,0.6,0.040656471,1868,0,0.034796574
0300039CDC,M,L,2015_16,3178,1.3,0.102580239,1940,0.05,0.123195876
0700EDFF57,M,H,2015_16,944,0.9,0.295550847,2106,1.45,0.091642925
0700EE22F5,M,L,2015_16,1805,1.4,0.124099723,2131,1.15,0.110276865
0700EDA1F5,F,L,2015_16,1004,2.3,0.116533865,2169,0.4,0.1604426
0700EE1D05,M,H,2015_16,1448,1.6,0.277624309,2187,0.2,0.162780064
0700EE31AE,M,H,2015_16,511,1.6,0.450097847,2516,0.75,0.116852146
0700EDA11E,F,H,2015_16,1154,0.85,0.254766031,2559,1.4,0.197342712
0700EDC61E,M,H,2015_16,1986,0.35,0.150553877,2603,1.35,0.193238571
0700EE1431,M,H,2015_16,2295,0.6,0.127233115,4056,1.65,0.124506903
0700EE0988,M,H,2015_16,2988,0.45,0.138888889,4302,0.55,0.049046955
0700EE1FB2,M,H,2015_16,2860,1.15,0.153496503,4363,0.6,0.103140041
0700ED9AAB,M,H,2015_16,2095,0.8,0.200954654,4537,1,0.128499008
0700EDFB86,M,H,2015_16,1581,2.05,0.160657812,5333,0.7,0.063191449
0700EE0514,M,H,2015_16,2945,0.75,0.128692699,6903,0.55,0.067362017
030002B8FF,M,H,2017_18,20,0.55,0.55,,,
0700EDFFE1,M,H,2016_17,24,0.25,0.25,,,
0700EDE73A,F,H,2016_17,25,0.95,0.92,,,
0700EDCB97,F,H,2018_19,28,0.5,0.535714286,,,
030001D152,M,H,2016_17,31,0.75,0.612903226,,,
011017A327,M,H,2018_19,31,0.35,0.483870968,,,
0700EDA1AE,F,L,2016_17,33,0.8,0.848484848,,,
030001F664,M,H,2017_18,35,0.25,0.314285714,,,
0700EDFD3A,M,L,2016_17,37,0.75,0.648648649,,,
0700ED8E2B,M,H,2018_19,37,0.8,0.513513514,,,
011017A38C,F,H,2018_19,37,0.55,0.486486486,,,
0700EE42EC,F,H,2017_18,39,1.35,0.923076923,,,
030001F885,M,H,2018_19,44,0.65,0.454545455,,,
0700ED9194,F,H,2018_19,46,0.55,0.434782609,,,
